代码,基金,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日,,,,,,手续费,,
900078,中信证券稳健回报混合C,ZXZQWJHBHHC,2021-11-01,1.1019,1.8452,-1.71,-3.95,-8.74,-13.13,-0.43,-8.26,,,-15.94,-7.22,2020-09-16,1,-7.5312,,0.00%,,,,
900077,中信证券信远一年持有混合B,ZXZQXYYNCYHHB,2021-11-01,0.8237,0.8237,-1.14,-2.74,-7.35,-8.18,7.35,,,,,8.84,2021-03-31,1,9.659091,1.50%,1.50%,99,1.50%,99,
900059,中信证券成长动力混合C,ZXZQCZDLHHC,2021-11-01,2.5373,3.5479,-0.58,4.73,7.67,10.46,12.17,,,,7.08,15.48,2020-11-25,1,6.453668,,0.00%,,,,
900052,中信证券臻选回报混合B,ZXZQZXHBHHB,2021-11-01,1.2243,1.2243,-0.53,1,4.56,0.22,-1.79,10.03,,,2.21,10.93,2020-10-15,1,7.9730,1.50%,1.50%,99,1.50%,99,
900039,中信证券六个月债券C,ZXZQLGYZQC,2021-11-01,1.0748,1.0748,0.04,0.23,-0.06,0.16,1.99,3.49,6.88,,3.47,7.48,2019-08-22,1,3.8317,,0.00%,,,,
900030,中信证券量化优选C,ZXZQLHYXC,2021-11-01,1.3812,2.3802,-1.60,-1.53,2.48,-0.85,7.99,25.26,,,10.04,60.38,2020-05-22,1,20.9166,,0.00%,,,,
900029,中信证券量化优选A,ZXZQLHYXA,2021-11-01,1.3971,2.3961,-1.59,-1.52,2.55,-0.65,8.43,26.26,,,10.78,62.23,2020-05-22,1,21.8841,1.00%,0.10%,1,0.10%,1,
900019,中信证券六个月债券A,ZXZQLGYZQA,2021-11-01,1.0748,1.0748,0.04,0.23,0.45,0.61,2.35,3.70,6.88,,3.73,7.51,2019-08-22,1,3.5007,,0.00%,,,,
900015,中信证券债券增强六个月持有A,ZXZQZQZQLGYCYA,2021-11-01,1.0389,1.8438,0.03,0.16,,,,,,,,0.15,2021-10-14,1,0,0.80%,0.80%,99,0.80%,99,
900013,中信证券品质生活混合A,ZXZQPZSHHHA,2021-11-01,1.0811,3.8857,-0.07,2.71,6.51,0.19,,,,,,-3.36,2021-07-16,1,-8.599267,1.50%,1.50%,99,1.50%,99,
900012,中信证券财富优选一年持有混合(FOF)A,ZXZQCFYXYNCYHHFOFA,2021-10-28,1.5090,2.6711,-0.84,0.11,1.45,3.76,,,,,,-2.24,2021-07-22,1,-3.070943,1.00%,1.00%,99,1.00%,99,
900009,中信证券成长动力混合A,ZXZQCZDLHHA,2021-11-01,2.5544,3.5650,-0.58,4.75,7.74,10.70,12.63,,,,7.77,16.26,2020-11-25,1,7.127253,1.50%,1.50%,99,1.50%,99,
900008,中信证券稳健回报混合A,ZXZQWJHBHHA,2021-11-01,1.1114,1.8547,-1.72,-3.94,-8.68,-12.96,-0.04,-7.52,,,-15.38,-6.42,2020-09-16,1,-6.7924,1.50%,1.50%,99,1.50%,99,
900007,中信债券优化一年持有债A,ZXZQYHYNCYZA,2021-11-01,1.0802,1.9106,0.06,0.36,0.47,1.66,,,,,,2.25,2021-05-31,1,1.732298,0.80%,0.80%,99,0.80%,99,
900003,中信证券臻选价值成长混合A,ZXZQZXJZCZHHA,2021-11-01,1.6108,2.4292,-0.68,0.59,4.53,-1.23,-4.14,11.40,,,-1.94,40.80,2020-02-18,1,8.3841,1.50%,1.50%,99,1.50%,99,
881011,招商资管睿丰三个月持有债C,ZSZGRFSGYCYZC,2021-11-01,1.0205,1.0205,0.03,0.12,0.25,0.53,1.37,,,,,2.05,2021-02-02,1,1.86,,0.00%,,,,
881010,招商资管睿丰三个月持有债A,ZSZGRFSGYCYZA,2021-11-01,1.0228,1.0228,0.03,0.12,0.26,0.61,1.53,,,,,2.28,2021-02-02,1,2.08,0.50%,0.05%,1,0.05%,1,
880007,招商资管智远成长灵活配置混合A,ZSZGZYCZLHPZHHA,2021-11-01,0.8760,2.2857,0.17,-0.22,1.86,3,-7.52,-11.58,,,-11.81,-12.40,2020-10-13,1,-12.6700,1.20%,1.20%,99,1.20%,99,
872021,广发资管核心精选一年持有混合C,GFZGHXJXYNCYHHC,2021-11-01,0.9652,1.4116,0.11,0.89,3.30,3.89,,,,,,-3.48,2021-06-02,1,-4.64,,0.00%,,,,
872019,广发平衡精选一年持有混合C,GFPHJXYNCYHHC,2021-11-01,1.1971,1.3692,0.83,-2.25,-1.70,3.39,6.56,,,,17.82,18.76,2020-11-30,1,18.57198,,0.00%,,,,
872017,广发资管昭利中短债C,GFZGZLZDZC,2021-11-01,1.0374,1.0374,0.03,0.08,0.21,0.44,1.39,2.98,,,2.46,3.74,2020-04-28,1,2.9619,,0.00%,,,,
872016,广发资管昭利中短债B,GFZGZLZDZB,2021-11-01,1.0625,1.0625,0.02,0.08,0.23,0.48,1.49,5.36,,,4.79,6.25,2020-04-28,1,5.3525,,0.00%,,,,
872015,广发资管昭利中短债A,GFZGZLZDZA,2021-11-01,1.0413,0.8572,0.02,0.08,0.22,0.48,1.50,3.24,,,2.69,4.13,2020-04-28,1,3.2367,0.40%,0.04%,1,0.04%,1,
872014,广发乾利一年持有期债券C,GFQLYNCYQZQC,2021-11-01,1.0967,1.3460,0.26,-0.47,-0.72,0.22,2.71,5.63,9.10,,4.97,9.10,2019-10-31,1,5.6471,,0.00%,,,,
871003,广发资管价值增长灵活配置混合,GFZGJZZZLHPZHH,2021-11-01,1.6556,5.0091,-1.47,0.80,3.22,3.95,6.31,17.71,,,7.24,63.98,2020-05-07,1,17.0525,1.00%,0.10%,1,0.10%,1,
870017,广发资管消费精选灵活配置混合,GFZGXFJXLHPZHH,2021-11-01,1.2122,2.2832,0.16,-1.92,0.69,-0.05,-15.80,-4.78,,,-15.76,21.22,2019-11-12,1,-2.7903,1.00%,0.10%,1,0.10%,1,
870009,广发平衡精选一年持有混合A,GFPHJXYNCYHHA,2021-11-01,1.2033,1.3742,0.84,-2.23,-1.65,3.55,6.89,,,,18.41,19.37,2020-11-30,1,19.143385,1.00%,0.10%,1,0.10%,1,
870008,广发乾利一年持有期债券A,GFQLYNCYQZQA,2021-11-01,1.1033,1.3512,0.26,-0.46,-0.69,0.30,2.86,5.95,9.78,,5.23,9.78,2019-10-31,1,5.9678,0.50%,0.05%,1,0.05%,1,
