代码,基金,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日,,,,,,手续费,,
872021,广发资管核心精选一年持有混合C,GFZGHXJXYNCYHHC,2021-12-03,0.9727,1.4217,1.19,0.94,2.92,4.56,-1.85,,,,,-2.73,2021-06-02,1,-4.64,,0.00%,,,,
872019,广发平衡精选一年持有混合C,GFPHJXYNCYHHC,2021-12-03,1.2420,1.4050,0.03,0.09,5.17,-4.37,5.29,22.02,,,22.24,23.21,2020-11-30,1,18.57198,,0.00%,,,,
872017,广发资管昭利中短债C,GFZGZLZDZC,2021-12-03,1.0403,1.0403,0.01,0.04,0.26,0.52,1.32,3.14,,,2.75,4.03,2020-04-28,1,2.9619,,0.00%,,,,
872016,广发资管昭利中短债B,GFZGZLZDZB,2021-12-03,1.0657,1.0657,0,0.04,0.27,0.58,1.44,5.54,,,5.11,6.57,2020-04-28,1,5.3525,,0.00%,,,,
872015,广发资管昭利中短债A,GFZGZLZDZA,2021-12-03,1.0445,0.8599,0.01,0.04,0.28,0.57,1.46,3.42,,,3.01,4.45,2020-04-28,1,3.2367,0.40%,0.04%,1,0.04%,1,
872014,广发乾利一年持有期债券C,GFQLYNCYQZQC,2021-12-03,1.1041,1.3519,-0.08,-0.20,0.94,-1.73,2.63,6.11,9.73,,5.68,9.84,2019-10-31,1,5.6471,,0.00%,,,,
871003,广发资管价值增长灵活配置混合,GFZGJZZZLHPZHH,2021-12-03,1.6791,5.0465,0.45,0.06,2.69,7.16,6.64,15.28,,,8.76,66.31,2020-05-07,1,17.0525,1.00%,0.10%,1,0.10%,1,
870017,广发资管消费精选灵活配置混合,GFZGXFJXLHPZHH,2021-12-03,1.1746,2.2162,1.12,0.41,-0.31,-6.92,-18.89,-15.20,18.47,,-18.37,17.46,2019-11-12,1,-2.7903,1.00%,0.10%,1,0.10%,1,
870009,广发平衡精选一年持有混合A,GFPHJXYNCYHHA,2021-12-03,1.2491,1.4107,0.04,0.10,5.21,-4.22,5.61,22.71,,,22.92,23.92,2020-11-30,1,19.143385,1.00%,0.10%,1,0.10%,1,
870008,广发乾利一年持有期债券A,GFQLYNCYQZQA,2021-12-03,1.1110,1.3574,-0.08,-0.19,0.97,-1.65,2.78,6.43,10.39,,5.96,10.54,2019-10-31,1,5.9678,0.50%,0.05%,1,0.05%,1,
870005,广发资管核心精选一年持有混合A,GFZGHXJXYNCYHHA,2021-12-03,0.9755,1.4255,1.19,0.95,2.98,4.71,-1.56,,,,,-2.45,2021-06-02,1,-4.45,1.00%,1.00%,99,1.00%,99,
865040,光大阳光北斗星180天滚动A,GDYGBDX180TGDA,2021-12-03,1.6583,1.6583,0.07,-0.15,1.01,-0.60,,,,,,-0.77,2021-08-30,1,-2.375681,0.40%,0.04%,1,0.04%,1,
862012,光大阳光香港精选混合(QDII)人民币C,GDYGXGJXHHQDIIRMBC,2021-12-02,0.7660,0.7660,-0.80,-5.37,-1.83,-11.23,-24.44,,,,,-23.40,2021-01-04,1,-16.93,,0.00%,,,,
862001,光大阳光香港精选混合(QDII)人民币A,GDYGXGJXHHQDIIRMBA,2021-12-02,1.0391,1.4647,-0.81,-5.36,-1.80,-11.10,-24.19,,,,,-20.72,2021-01-04,1,-14.099336,1.20%,0.12%,1,0.12%,1,
860063,光大阳光3个月持有(FOF)C,GDYG3GYCYFOFC,2021-12-01,1.0117,1.0117,-0.15,-0.40,1.52,1.58,,,,,,1.17,2021-07-22,1,-0.93,,0.00%,,,,
860058,光大阳光稳健增长混合C,GDYGWJZZHHC,2021-12-03,1.02,1.02,0.19,0.32,0.87,0,1.89,,,,,2,2021-03-04,1,0.9,,0.00%,,,,
860056,光大阳光优选一年持有混合C,GDYGYXYNCYHHC,2021-12-03,0.9665,0.9665,0.41,0.62,1.44,-1.82,2.32,-3.35,,,-3.35,-3.35,2020-10-14,1,-5.7700,,0.00%,,,,
